GGP, Real Estate, Feature Numbers: 1.5047029 0.10463265 1.0045942 -1.3184671 -0.9003165 -0.3069823 -0.3202777 -0.36269358 -1.272618 -0.41184872 0.6033893 -0.2297579 -0.6285219 -0.07357637 0.32187286 
FCX, Materials, Feature Numbers: 0.8792807 1.077012 1.8335494 0.69593257 -0.50894 0.6336379 0.7915929 1.2497874 -0.48283994 0.6697497 -0.4804588 -1.2921773 0.91217715 3.035054 -0.56707364 
BDX, Health Care, Feature Numbers: 0.27750808 -0.61789125 -0.59170246 -0.32254514 0.28702506 -0.8746191 -0.089802146 -0.84584904 0.0265739 -0.9671568 -0.016823696 0.13018653 -0.7993523 -0.5630662 0.617594 
WHR, Consumer Discretionary, Feature Numbers: 0.49165764 0.09976681 0.27031198 0.18687211 -0.32125533 0.063970536 0.25751004 0.4275452 -0.0006573678 -0.35713342 0.0007442607 -0.7822315 -0.061272778 1.0788381 -0.21398045 
EIX, Utilities, Feature Numbers: 1.013886 0.6903816 0.25495234 -2.0241213 -0.8357792 -0.15506946 -0.67986834 -2.1123004 -1.1020138 -1.8189405 0.46121928 -0.17730844 1.2684734 -0.2530152 0.281598 
MDT, Health Care, Feature Numbers: 0.30194384 -0.55416983 -0.5460868 -0.1863051 0.2146895 -0.8155745 -0.07821543 -0.7044822 0.24064802 -0.8902064 0.03569181 -0.06498965 -0.46737126 -0.45333362 0.3655468 
F, Consumer Discretionary, Feature Numbers: 0.25985968 -0.18009508 -0.25612536 0.44984317 0.27477324 -0.660137 0.098548844 -0.07187577 0.6791702 -0.10330911 -0.5570777 -0.11989927 -0.3146033 0.44753954 -0.12753321 
DFS, Financials, Feature Numbers: 0.37394476 -0.61942136 -0.4512017 0.6513162 0.4472187 -1.1045202 0.13125753 -0.30313542 1.0457109 0.31101176 -0.76001763 0.18022822 -0.72714007 -0.17623629 -0.027095161 
JEC, Industrials, Feature Numbers: 0.20466036 -0.078644104 0.14000234 0.8546414 0.1759141 -0.6259819 0.44570124 0.096477784 0.61671245 0.28533182 -0.32848153 -0.16812919 -0.12966855 0.9916574 -0.037179478 
ILMN, Health Care, Feature Numbers: 0.30662507 0.37888756 0.4887253 0.6609175 -0.30159557 0.8599548 0.69025564 1.2664546 0.16321348 -0.66922975 0.30502427 -1.6350479 -0.03610466 1.8436587 -0.27888826 
V, Information Technology, Feature Numbers: 0.31261516 -0.56996787 -0.5254205 -0.0097936485 0.31352133 -0.8988162 -0.060234092 -0.6636566 0.45480007 -0.6107485 -0.042813845 -0.0032871151 -0.82416797 -0.51394975 0.31019264 
FMC, Materials, Feature Numbers: 0.42540076 0.12823258 0.4351759 0.62284184 0.1245947 -0.4273983 0.294546 -0.030659113 0.2962746 0.38409093 -0.69489086 -0.13885081 0.026278233 1.0078074 0.13186644 
AVY, Materials, Feature Numbers: 0.49186975 -0.38002548 -0.11588714 0.15342848 0.2702953 -0.9362213 0.11915012 -0.42218181 0.46101055 -0.19079252 -0.35561094 0.20578068 -0.5598002 -0.20536378 0.20886582 
TSCO, Consumer Discretionary, Feature Numbers: 0.3500114 -0.03488614 0.18249223 0.6273991 -0.11482682 -0.008842469 0.18267727 0.2830957 0.068367116 -0.19784719 -0.34589475 -0.5767134 -0.5277682 0.906102 -0.076056525 
ALL, Financials, Feature Numbers: 0.53995675 -0.6158486 -0.6792724 -0.47107106 0.3347592 -1.3104737 -0.27664742 -1.2457184 0.4280621 -0.58727556 -0.46110687 0.45823547 -0.597315 -1.1431447 0.5255857 
NTAP, Information Technology, Feature Numbers: 0.12285416 -0.015238173 0.13919161 0.645925 0.17460698 -0.21121833 0.33240518 0.29149234 0.49540398 -0.1699026 -0.46210286 -0.55263454 -0.06509816 1.0176485 -0.06140109 
LMT, Industrials, Feature Numbers: 0.57642454 -0.5199666 -0.3388829 -0.31179044 0.3105458 -1.0388457 -0.1484885 -0.8765089 0.2564665 -0.612228 -0.12138209 0.29890653 -0.7057874 -0.73920554 0.36242297 
MMM, Industrials, Feature Numbers: 0.30697656 -1.0446953 -0.9783629 -0.21950692 0.6028486 -1.4319109 -0.31317347 -1.4476799 0.41714135 -0.7825294 -0.50004053 0.6707492 -0.8481035 -1.2338054 0.5890151 
SO, Utilities, Feature Numbers: 0.87889135 0.22883049 -0.2623179 -2.13627 -0.49225432 -0.37900695 -0.6386453 -2.5078228 -0.75564957 -2.315814 0.32243425 0.16124874 1.1169244 -0.99708295 0.44091928 
JNPR, Information Technology, Feature Numbers: 0.20848686 -0.10439747 0.14586534 0.48940167 -0.048448924 0.02538401 0.340154 0.31116438 0.35034952 -0.2891774 -0.25628915 -0.6368822 -0.30196786 0.9631364 0.026835337 
MMC, Financials, Feature Numbers: 0.4122818 -0.6786886 -0.71759003 -0.22500418 0.51491565 -1.4910896 -0.23288782 -1.3983971 0.82442224 -0.5762874 -0.3998939 0.46617508 -0.39396846 -1.2329427 0.2914822 
CTSH, Information Technology, Feature Numbers: 0.2360197 -0.21559608 -0.2400856 0.34089714 0.08736914 -0.36312073 0.25543457 -0.09832087 0.59265316 -0.5185138 -0.038508162 -0.31059468 -0.37960878 0.37413803 0.08031197 
DPS, Consumer Staples, Feature Numbers: 0.68309397 -0.42658827 -0.24919507 -0.86535096 -0.019651456 -0.80704683 -0.3208505 -1.202349 -0.58261836 -1.067745 0.09063531 0.0758312 -0.47869802 -0.8322934 0.66522837 
IBM, Information Technology, Feature Numbers: 0.29726914 -0.6458768 -0.44541737 -0.037125338 0.32934988 -0.9343885 -0.122751266 -0.8348991 0.22617505 -0.56602055 -0.37093735 0.14885265 -0.2826484 -0.37870514 0.46974757 
BAX, Health Care, Feature Numbers: 0.28889614 -0.4858124 -0.22401595 -0.17180954 0.28653577 -0.71249485 0.11909185 -0.5997467 0.29231814 -0.79247063 0.01374748 0.018648254 -0.5639023 -0.3179413 0.49123132 
CAT, Industrials, Feature Numbers: 0.4666088 -0.069099575 -0.040599763 0.48810697 0.48581746 -0.92446643 0.24615918 -0.52768266 0.44666445 0.15819214 -0.6877379 0.24466725 -0.17488654 0.20784155 0.058758818 
CAH, Health Care, Feature Numbers: 0.30737677 -0.3729411 -0.12242919 -0.07815727 0.09412394 -0.40952355 0.23748739 -0.12256305 0.09392357 -0.79371923 -0.021098102 -0.3345509 -0.5207464 0.06669307 0.2503282 
BAC, Financials, Feature Numbers: 0.1724577 -0.35220551 -0.8233957 1.4893742 0.38538128 -0.93857694 0.080134675 0.0864287 2.0816858 0.65664375 -0.9248929 -0.47315228 0.11631748 0.44864142 -0.7502907 
GS, Financials, Feature Numbers: 0.16689537 -0.22364596 -0.53911483 1.0133694 0.37788758 -1.067106 0.0995746 -0.37942207 1.4784825 0.3689793 -0.9809324 -0.040894084 -0.18741456 0.048920926 -0.23131107 
CAG, Consumer Staples, Feature Numbers: 0.55784225 -0.34604087 -0.4443527 -0.8380376 -0.02878176 -0.6247159 -0.21342069 -1.3346615 -0.34371272 -0.9962995 -0.1378295 0.058747087 -0.14715767 -0.4629763 0.4100491 
